[2025-07-22 22:32:50Client connected: /127.0.0.1
[2025-07-22 22:32:53Command from /127.0.0.1: hello
[2025-07-22 22:32:58Command from /127.0.0.1: hiii
[2025-07-28 16:03:14STORE key: id6, value: id6 value6
[2025-07-28 16:03:14STORE key: id14, value: id14 value14
[2025-07-28 16:03:14STORE key: id18, value: id18 value18
[2025-07-28 16:03:14STORE key: id11, value: id11 value11
[2025-07-28 16:03:14STORE key: id4, value: id4 value4
[2025-07-28 16:03:14STORE key: id8, value: id8 value8
[2025-07-28 16:03:14STORE key: id2, value: id2 value2
[2025-07-28 16:03:14STORE key: id1, value: id1 value1
[2025-07-28 16:03:14STORE key: id19, value: id19 value19
[2025-07-28 16:03:14STORE key: id13, value: id13 value13
[2025-07-28 16:03:14STORE key: id16, value: id16 value16
[2025-07-28 16:03:14STORE key: id17, value: id17 value17
[2025-07-28 16:03:14STORE key: id7, value: id7 value7
[2025-07-28 16:03:14STORE key: id12, value: id12 value12
[2025-07-28 16:03:14STORE key: id10, value: id10 value10
[2025-07-28 16:03:14STORE key: id5, value: id5 value5
[2025-07-28 16:03:14STORE key: id15, value: id15 value15
[2025-07-28 16:03:14STORE key: id3, value: id3 value3
[2025-07-28 16:03:14STORE key: id20, value: id20 value20
[2025-07-28 16:03:14STORE key: id9, value: id9 value9
[2025-07-28 16:03:14GET key: id16, result: id16 value16
[2025-07-28 16:03:14GET key: id6, result: id6 value6
[2025-07-28 16:03:14GET key: id13, result: id13 value13
[2025-07-28 16:03:14GET key: id7, result: id7 value7
[2025-07-28 16:03:14GET key: id11, result: id11 value11
[2025-07-28 16:03:14GET key: id14, result: id14 value14
[2025-07-28 16:03:14GET key: id19, result: id19 value19
[2025-07-28 16:03:14GET key: id8, result: id8 value8
[2025-07-28 16:03:14GET key: id20, result: id20 value20
[2025-07-28 16:03:14GET key: id18, result: id18 value18
[2025-07-28 16:03:14GET key: id17, result: id17 value17
[2025-07-28 16:03:14GET key: id4, result: id4 value4
[2025-07-28 16:03:14GET key: id12, result: id12 value12
[2025-07-28 16:03:14GET key: id2, result: id2 value2
[2025-07-28 16:03:14GET key: id1, result: id1 value1
[2025-07-28 16:03:14GET key: id10, result: id10 value10
[2025-07-28 16:03:14GET key: id3, result: id3 value3
[2025-07-28 16:03:14GET key: id9, result: id9 value9
[2025-07-28 16:03:14GET key: id15, result: id15 value15
[2025-07-28 16:03:14GET key: id5, result: id5 value5
[2025-07-28 16:03:14STORE key: id28, value: id28 value28
[2025-07-28 16:03:14STORE key: id31, value: id31 value31
